1;Blanco
2;Negro
3;Blanco Inv
4;Gris
5;Rojo
6;Azul
7;Verde
8;Cafe o Beige
9;Amarillo
10;Print
11;Aqua
12;Celeste
13;Naranja
14;Fucsia
15;Rosa
16;Print Negro
17;Peludo
18;Sandia
19;Calipso
20;Damasco
21;Lila
22;Terracota
